,Cnsmr,Manuf,HiTec,Hlth,Other
SRVPRD,0.0004007772911318212,0.0002128716998848683,0.00077376108476945,0.00010750346768776919,0.0009611185295174625
M1SL,0.000266045820437069,0.0018825256730164773,0.0008710839257479024,0.0020003408139893943,0.0017235681257314886
AWHMAN,0.0002378619300768008,0.00013949708022601093,0.0,0.0021131169563265314,0.001528642935018246
M2SL,0.00022487309627610306,0.0002371028813055129,0.0006862350825475725,0.0008317409836518212,0.004936300540248997
WPSFD49502,0.00018759720791803962,0.0011312388051003736,0.00013286741878118215,0.0,0.0009921874318412664
BAAFFM,0.00018490189699197309,0.0026224757939725444,0.0064617288554589284,0.0021076361762126183,0.0
MANEMP,0.0001839881867734283,0.00015296714915175583,0.00071797745254674,0.0010159632330882823,0.0003928174389173534
CP3Mx,0.00016928465454888608,0.0025640387955496798,0.0005287405179025363,0.00033605660661864003,0.0017573754685175508
IPFPNSS,0.00012283139402901255,0.000995393944158342,0.0009206196052832258,0.0032230795020832693,0.0011389485205682839
PAYEMS,0.00011044548453724033,0.0005799839845828378,0.0016429766213349488,0.00010796045946543598,0.000342056086541184
HWIURATIO,0.00010832680979612347,0.00012387823803008914,0.004926550471047582,0.00115369691785152,0.000645046415980515
CUSR0000SA0L5,8.911961399313429e-05,0.0011820502863273442,0.0,0.0015557036477731841,0.00026007858549867137
CE16OV,6.717927879770007e-05,0.0003542496756766069,0.005271455735307241,0.0,0.0004257356438161358
CES1021000001,3.220190939154324e-05,0.005331720511517408,0.0038639809609582166,0.006678681513278481,0.005814382535851362
FEDFUNDS,1.1886144392011613e-06,0.004074651091267864,0.005094329725203085,0.0017490153084310114,0.0017855346351571284
PCEPI,6.764374519519426e-07,0.0008190347857025739,3.1180721902209936e-05,0.00046593151875775615,0.0
MZMSL,0.0,0.0014413258363733174,0.00030369921174386023,6.204236723626127e-05,0.0002861965947027337
BOGMBASE,0.0,0.0009059977186075898,0.0008724008267974366,0.0007550261085965783,0.004722105015694933
M2REAL,0.0,0.0006483456824556777,4.367403940632145e-05,6.733789052520444e-05,0.0
CES3000000008,0.0,0.0002951729266782678,0.0011043790320102163,0.0015427174141656897,0.0011888044298551108
IPCONGD,0.0,0.006203019237281928,0.007191750846898345,0.001525720906734934,0.0012130323564194395
CES2000000008,0.0,0.001106745778978243,0.0006136992853179172,0.0,0.0007408559200747146
GS1,0.0,0.0011877922558840806,0.0017013033814059135,0.008549932259777678,0.0
AWOTMAN,0.0,0.00016351832433794463,0.00012288533719420828,0.0,0.0
USTPU,0.0,0.007095322611963185,0.0010988662868817443,0.00016764034540698978,0.003338530195851898
DSERRG3M086SBEA,0.0,0.0,0.0,0.003571341664388164,4.166033776156208e-05
CPIMEDSL,0.0,0.0012660238392686173,6.758047044080407e-05,0.0006816275365040665,0.0
